Sno,Question,SQL Query,NL Template
11,How many trips were created today?,SELECT COUNT(*) AS trips_today FROM trips_full WHERE DATE(trip_created_at) = DATE('now');,There were {trips_today} trips created today.
12,How many trips were created yesterday?,"SELECT COUNT(*) AS trips_yesterday FROM trips_full WHERE DATE(trip_created_at) = DATE('now','-1 day');",There were {trips_yesterday} trips created yesterday.
13,How many trips were closed today?,SELECT COUNT(*) AS closed_today FROM trips_full WHERE DATE(trip_closed_at) = DATE('now');,There were {closed_today} trips closed today.
14,How many trips were closed yesterday?,"SELECT COUNT(*) AS closed_yesterday FROM trips_full WHERE DATE(trip_closed_at) = DATE('now','-1 day');",There were {closed_yesterday} trips closed yesterday.
15,What is the week-wise trip volume for the last 30 days?,"SELECT DATE(strftime('%Y-%m-%d', DATE(trip_created_at,'weekday 0','-6 days'))) AS week_start, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY week_start ORDER BY week_start;",Here is the week-wise trip volume for the last 30 days.
16,How many trips were created in the last 7 days?,"SELECT COUNT(*) AS trips_last_7_days FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-7 day');",There were {trips_last_7_days} trips created in the last 7 days.
17,How many trips were created between specific dates in the last 30 days?,"SELECT COUNT(*) AS trip_count FROM trips_full WHERE DATE(trip_created_at) BETWEEN DATE('now','-30 day') AND DATE('now');",There were {trip_count} trips created between the selected dates.
18,What is the max trips created on any single day in the last 30 days?,"SELECT DATE(trip_created_at) AS day, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY day ORDER BY trips DESC LIMIT 1;",The highest daily trip volume in the last 30 days was {trips} trips on {day}.
19,What is the minimum daily trip volume in the last 30 days?,"SELECT DATE(trip_created_at) AS day, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY day ORDER BY trips ASC LIMIT 1;",The lowest daily trip volume in the last 30 days was {trips} trips on {day}.
20,What is the average daily trip volume in the last 30 days?,"SELECT AVG(trip_count) AS avg_daily_trips FROM (SELECT DATE(trip_created_at) AS day, COUNT(*) AS trip_count FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY day);",The average daily trip volume over the last 30 days is {avg_daily_trips} trips per day.
21,Which transporters handled the most trips in the last 30 days?,"SELECT indent_transporter_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY trips DESC;","These transporters handled the most trips in the last 30 days, ordered by trip count."
22,Which transporter handled the maximum trips in the last 30 days?,"SELECT indent_transporter_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY trips DESC LIMIT 1;",The transporter with the maximum trips in the last 30 days is {indent_transporter_name} with {trips} trips.
23,Show trips handled by Rapid Fleet Management Service in the last 30 days.,"SELECT * FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') AND indent_transporter_name = 'Rapid Fleet Management Service';",These are all trips handled by Rapid Fleet Management Service in the last 30 days.
24,How many trips were handled by each trip_transporter_name in the last 30 days?,"SELECT trip_transporter_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY trip_transporter_name ORDER BY trips DESC;",Here is the trip distribution by trip_transporter_name for the last 30 days.
25,Which transporters appear in the transporter_list most frequently in the last 30 days?,"SELECT publishing_rule_transporter_label, COUNT(*) AS occurrences FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY publishing_rule_transporter_label ORDER BY occurrences DESC;",These transporter labels appeared most frequently in allocation rules over the last 30 days.
26,How many trips had a specific VEHICLE_LABEL in the last 30 days?,"SELECT VEHICLE_LABEL, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY VEHICLE_LABEL ORDER BY trips DESC;",Here is the trip distribution by vehicle label for the last 30 days.
27,Show trips for a specific vehicle number in the last 30 days.,"SELECT * FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') AND ""Vehicle Number"" = 'KA51AK6614';",These are all trips for vehicle number KA51AK6614 in the last 30 days.
28,How many unique vehicles moved in the last 30 days?,"SELECT COUNT(DISTINCT ""Vehicle Number"") AS unique_vehicles FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",There were {unique_vehicles} unique vehicles that moved in the last 30 days.
29,How many trips have a vehicle rejection reason in the last 30 days?,"SELECT COUNT(*) AS rejected FROM trips_full WHERE VEHICLE_REJECTION_REASON IS NOT NULL AND VEHICLE_REJECTION_REASON <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {rejected} trips with a recorded vehicle rejection reason in the last 30 days.
30,What are the top vehicle rejection reasons in the last 30 days?,"SELECT VEHICLE_REJECTION_REASON, COUNT(*) AS cnt FROM trips_full WHERE VEHICLE_REJECTION_REASON IS NOT NULL AND VEHICLE_REJECTION_REASON <> '' AND DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY VEHICLE_REJECTION_REASON ORDER BY cnt DESC;",These are the most common vehicle rejection reasons over the last 30 days.
31,What are the top 10 busiest routes by trip count in the last 30 days?,"SELECT route_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name ORDER BY trips DESC LIMIT 10;",Here are the top 10 busiest routes by trip count in the last 30 days.
32,What are the top 10 busiest canonical routes (route_name_derived) in the last 30 days?,"SELECT route_name_derived, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name_derived ORDER BY trips DESC LIMIT 10;",These are the top 10 canonical routes by trip volume over the last 30 days.
33,How many trips were created for each onboarded_route in the last 30 days?,"SELECT onboarded_route, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY onboarded_route ORDER BY trips DESC;",Here is the trip distribution by onboarded route for the last 30 days.
34,Show all trips on a specific route_name in the last 30 days.,"SELECT * FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') AND route_name = 'Ceat_Chennai Plant - Bommasettihalli';",These are all trips on the route Ceat_Chennai Plant - Bommasettihalli in the last 30 days.
35,Which routes have the highest average transit time in the last 30 days?,"SELECT route_name, AVG(transit_time) AS avg_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name ORDER BY avg_transit DESC;",These routes have the highest average transit time in the last 30 days.
36,Which routes have the highest STA breach count in the last 30 days?,"SELECT route_name, COUNT(*) AS breaches FROM trips_full WHERE sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name ORDER BY breaches DESC;",These routes recorded the most STA breaches in the last 30 days.
37,How many trips breached STA in the last 30 days?,"SELECT COUNT(*) AS breached FROM trips_full WHERE sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {breached} trips that breached STA in the last 30 days.
38,How many trips met STA in the last 30 days?,"SELECT COUNT(*) AS on_time FROM trips_full WHERE sta_breached_alert = 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {on_time} trips that met STA in the last 30 days.
39,Show all trips that breached STA in the last 30 days.,"SELECT trip_id, route_name, indent_transporter_name, transit_time FROM trips_full WHERE sta_breached_alert = 1 AND DATE(trip_created_at) >= DATE('now','-30 day');","These trips breached STA over the last 30 days, with their route, transporter, and transit time."
40,What is the STA breach percentage in the last 30 days?,"SELECT (SUM(CASE WHEN sta_breached_alert = 1 THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS breach_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');","Over the last 30 days, {breach_pct}% of trips breached STA."
41,What is the average transit time in the last 30 days?,"SELECT AVG(transit_time) AS avg_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",The average transit time in the last 30 days is {avg_transit} hours.
42,What is the median-like transit time approximation in the last 30 days?,"SELECT transit_time FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') ORDER BY transit_time LIMIT 1 OFFSET (SELECT COUNT(*)/2 FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day'));",The approximate median transit time in the last 30 days is {transit_time} hours.
43,What is the average running time in the last 30 days?,"SELECT AVG(running_time) AS avg_running FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",The average running time in the last 30 days is {avg_running} hours.
44,What is the min and max transit_time in the last 30 days?,"SELECT MIN(transit_time) AS min_transit, MAX(transit_time) AS max_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",The minimum transit time in the last 30 days is {min_transit} hours and the maximum is {max_transit} hours.
45,What is the average difference between transit_time and running_time in the last 30 days?,"SELECT AVG(transit_time - running_time) AS avg_idle_time FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');","On average, vehicles spent {avg_idle_time} hours idle (non-running) per trip in the last 30 days."
46,What is the average distance travelled per trip in the last 30 days?,"SELECT AVG(""Distance Travelled"") AS avg_km FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",The average distance travelled per trip in the last 30 days is {avg_km} km.
47,Which trips travelled more than 500 km in the last 30 days?,"SELECT * FROM trips_full WHERE ""Distance Travelled"" > 500 AND DATE(trip_created_at) >= DATE('now','-30 day');",These are trips with more than 500 km of distance travelled in the last 30 days.
48,Which trips have 0 distance travelled but are closed in the last 30 days?,"SELECT * FROM trips_full WHERE ""Distance Travelled"" = 0 AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');","These closed trips show 0 km travelled, which may indicate data quality issues."
49,Which transporter has the highest total distance travelled in the last 30 days?,"SELECT indent_transporter_name, SUM(""Distance Travelled"") AS total_km FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY total_km DESC LIMIT 1;",The transporter with the highest total distance travelled in the last 30 days is {indent_transporter_name} with {total_km} km.
50,What is the total distance travelled per transporter in the last 30 days?,"SELECT indent_transporter_name, SUM(""Distance Travelled"") AS total_km FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY total_km DESC;",Here is the total distance travelled per transporter in the last 30 days.
51,How many trips had speed >60 km/h segments over 20 km in the last 30 days?,"SELECT COUNT(*) AS high_speed_trips FROM trips_full WHERE distance_travelled_morethan_60_speed > 20 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {high_speed_trips} trips with more than 20 km at speeds above 60 km/h in the last 30 days.
52,Show trips with more than 20 km at >60 km/h in the last 30 days.,"SELECT * FROM trips_full WHERE distance_travelled_morethan_60_speed > 20 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had high-speed segments beyond 20 km in the last 30 days.
53,What is the average distance travelled in the 40–60 km/h band in the last 30 days?,"SELECT AVG(distance_travelled_in_40_60_speed) AS avg_band_km FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');","On average, trips covered {avg_band_km} km in the 40–60 km/h speed band over the last 30 days."
54,Which trips had more than 100 km in the 40–60 km/h band in the last 30 days?,"SELECT * FROM trips_full WHERE distance_travelled_in_40_60_speed > 100 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had more than 100 km of movement in the 40–60 km/h speed band in the last 30 days.
55,How many trips had more than 2 long stoppage alerts in the last 30 days?,"SELECT COUNT(*) AS trips_long_stoppages FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 2 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {trips_long_stoppages} trips with more than 2 long stoppage alerts in the last 30 days.
56,Show trips with more than 2 long stoppage alerts in the last 30 days.,"SELECT * FROM trips_full WHERE ""Total Long Stoppage Alerts"" > 2 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had multiple long stoppages in the last 30 days.
57,Which routes have the highest average count of long stoppage alerts in the last 30 days?,"SELECT route_name, AVG(""Total Long Stoppage Alerts"") AS avg_stoppages FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY route_name ORDER BY avg_stoppages DESC;",These routes have the highest average number of long stoppage alerts in the last 30 days.
58,Which trips had more than 3 route deviation alerts in the last 30 days?,"SELECT * FROM trips_full WHERE ""Total Route Deviation Alerts"" > 3 AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips had more than 3 route deviation alerts in the last 30 days.
59,How many trips had at least one route deviation alert in the last 30 days?,"SELECT COUNT(*) AS deviated_trips FROM trips_full WHERE ""Total Route Deviation Alerts"" > 0 AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {deviated_trips} trips with at least one route deviation alert in the last 30 days.
60,Which transporters have the highest average route deviation alerts per trip in the last 30 days?,"SELECT indent_transporter_name, AVG(""Total Route Deviation Alerts"") AS avg_deviation FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY avg_deviation DESC;",These transporters have the highest average route deviation alerts per trip in the last 30 days.
61,What is the tracked vs untracked split in the last 30 days?,"SELECT ""Tracking Status"", COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY ""Tracking Status"";",Here is the tracked vs untracked trip split for the last 30 days.
62,How many trips were tracked in the last 30 days?,"SELECT COUNT(*) AS tracked_trips FROM trips_full WHERE ""Tracking Status"" = 'Tracked' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {tracked_trips} tracked trips in the last 30 days.
63,How many trips were untracked in the last 30 days?,"SELECT COUNT(*) AS untracked_trips FROM trips_full WHERE ""Tracking Status"" <> 'Tracked' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {untracked_trips} untracked or partially tracked trips in the last 30 days.
64,What is the tracking coverage percentage in the last 30 days?,"SELECT (SUM(CASE WHEN ""Tracking Status"" = 'Tracked' THEN 1 ELSE 0 END) * 100.0 / COUNT(*)) AS tracking_coverage_pct FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day');",The tracking coverage over the last 30 days is {tracking_coverage_pct}% of trips.
65,How many trips were tracked via each tracking source in the last 30 days?,"SELECT TRACKED_LOCATION_SOURCES, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY TRACKED_LOCATION_SOURCES;",Here is the trip distribution by tracking source for the last 30 days.
66,Show trips tracked via FST in the last 30 days.,"SELECT * FROM trips_full WHERE TRACKED_LOCATION_SOURCES = 'fst' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips were tracked using FST as the tracking data source in the last 30 days.
67,Which transporter has the highest tracking coverage in the last 30 days?,"SELECT indent_transporter_name, (SUM(CASE WHEN ""Tracking Status"" = 'Tracked' THEN 1 ELSE 0 END) * 1.0 / COUNT(*)) AS tracking_ratio FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_transporter_name ORDER BY tracking_ratio DESC;",These transporters have the highest tracking coverage (ratio of tracked trips) in the last 30 days.
68,How many trips had ePOD created in the last 30 days?,"SELECT COUNT(*) AS epod_trips FROM trips_full WHERE epod_created_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {epod_trips} trips with ePOD created in the last 30 days.
69,What is the delivery STATUS distribution in the last 30 days?,"SELECT STATUS, COUNT(*) AS cnt FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY STATUS;",This is the delivery status distribution for trips over the last 30 days.
70,How many trips were verified as successfully delivered in the last 30 days?,"SELECT COUNT(*) AS delivered_trips FROM trips_full WHERE STATUS = 'VERIFIED_AS_SUCCESSFULLY_DELIVERED' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {delivered_trips} trips verified as successfully delivered in the last 30 days.
71,What is the ePOD submission bucket distribution for the last 30 days?,"SELECT EPOD_SUBMITTED_BUCKET, COUNT(*) AS cnt FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY EPOD_SUBMITTED_BUCKET;",Here is the ePOD submission time bucket distribution for the last 30 days.
72,How many trips were submitted within 0-24 hrs bucket in the last 30 days?,"SELECT COUNT(*) AS bucket_0_24 FROM trips_full WHERE EPOD_SUBMITTED_BUCKET = '0-24 hrs' AND DATE(trip_created_at) >= DATE('now','-30 day');",{bucket_0_24} trips had ePOD submitted within the 0-24 hrs bucket in the last 30 days.
73,How many trips have 'Delivered With Issues' flagged in the last 30 days?,"SELECT COUNT(*) AS issues FROM trips_full WHERE ""Delivered With Issues"" IS NOT NULL AND ""Delivered With Issues"" <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {issues} trips marked as delivered with issues in the last 30 days.
74,Show trips delivered with issues in the last 30 days.,"SELECT * FROM trips_full WHERE ""Delivered With Issues"" IS NOT NULL AND ""Delivered With Issues"" <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips were delivered with reported issues in the last 30 days.
75,What is the average time from trip creation to ePOD creation in the last 30 days?,"SELECT AVG((julianday(epod_created_at) - julianday(trip_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE epod_created_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');","On average, ePOD was created {avg_hours} hours after trip creation in the last 30 days."
76,What is the average time from delivery (trip_closed_at) to ePOD submission in the last 30 days?,"SELECT AVG((julianday(SUBMISSION_CREATED_AT) - julianday(trip_closed_at)) * 24.0) AS avg_hours FROM trips_full WHERE SUBMISSION_CREATED_AT IS NOT NULL AND trip_closed_at IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');","On average, ePOD submission occurred {avg_hours} hours after trip closure in the last 30 days."
77,How many trips have a non-null EPOD_FTEID in the last 30 days?,"SELECT COUNT(*) AS epod_linked FROM trips_full WHERE EPOD_FTEID IS NOT NULL AND EPOD_FTEID <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {epod_linked} trips with an EPOD_FTEID linked in the last 30 days.
78,Which consignor companies have the most trips in the last 30 days?,"SELECT consignor_company_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_company_name ORDER BY trips DESC;",These consignor companies generated the highest number of trips in the last 30 days.
79,Which consignor branches have the most trips in the last 30 days?,"SELECT consignor_branch_name, COUNT(*) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_branch_name ORDER BY trips DESC;",These consignor branches generated the highest number of trips in the last 30 days.
80,Show all trips for CEAT Ltd. in the last 30 days.,"SELECT * FROM trips_full WHERE consignor_company_name = 'CEAT Ltd.' AND DATE(trip_created_at) >= DATE('now','-30 day');",These are all trips for CEAT Ltd. in the last 30 days.
81,Show all trips for the Ceat_Chennai Plant branch in the last 30 days.,"SELECT * FROM trips_full WHERE consignor_branch_name = 'Ceat_Chennai Plant' AND DATE(trip_created_at) >= DATE('now','-30 day');",These are all trips originating from the Ceat_Chennai Plant branch in the last 30 days.
82,What is the average transit time per consignor company in the last 30 days?,"SELECT consignor_company_name, AVG(transit_time) AS avg_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_company_name ORDER BY avg_transit DESC;",Here is the average transit time per consignor company for the last 30 days.
83,What is the average transit time per consignor branch in the last 30 days?,"SELECT consignor_branch_name, AVG(transit_time) AS avg_transit FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY consignor_branch_name ORDER BY avg_transit DESC;",Here is the average transit time per consignor branch for the last 30 days.
84,How many trips have running_time greater than transit_time in the last 30 days?,"SELECT COUNT(*) AS inconsistent FROM trips_full WHERE running_time > transit_time AND DATE(trip_created_at) >= DATE('now','-30 day');","There are {inconsistent} trips where running_time exceeds transit_time, which may indicate data issues."
85,Show trips where running_time is greater than transit_time in the last 30 days.,"SELECT * FROM trips_full WHERE running_time > transit_time AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have running_time greater than transit_time and may need investigation.
86,How many trips have null or missing driver name in the last 30 days?,"SELECT COUNT(*) AS missing_driver FROM trips_full WHERE (""Driver Name"" IS NULL OR ""Driver Name"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_driver} trips with missing driver names in the last 30 days.
87,Show trips with missing driver names in the last 30 days.,"SELECT * FROM trips_full WHERE (""Driver Name"" IS NULL OR ""Driver Name"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing driver names and may require data clean-up.
88,How many trips have missing vehicle numbers in the last 30 days?,"SELECT COUNT(*) AS missing_vehicle FROM trips_full WHERE (""Vehicle Number"" IS NULL OR ""Vehicle Number"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {missing_vehicle} trips with missing vehicle numbers in the last 30 days.
89,Show trips with missing vehicle numbers in the last 30 days.,"SELECT * FROM trips_full WHERE (""Vehicle Number"" IS NULL OR ""Vehicle Number"" = '') AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have missing vehicle numbers and may require correction.
90,How many trips have comments present in the last 30 days?,"SELECT COUNT(*) AS commented_trips FROM trips_full WHERE comments IS NOT NULL AND comments <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {commented_trips} trips with comments recorded in the last 30 days.
91,Show trips with comments in the last 30 days.,"SELECT * FROM trips_full WHERE comments IS NOT NULL AND comments <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",These trips have associated comments which may contain important operational notes.
92,How many trips have additional_comment populated in the last 30 days?,"SELECT COUNT(*) AS additional_comment_trips FROM trips_full WHERE additional_comment IS NOT NULL AND additional_comment <> '' AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {additional_comment_trips} trips with additional_comment populated in the last 30 days.
93,How many indents were republished in the last 30 days?,"SELECT COUNT(*) AS republished FROM trips_full WHERE is_indent_republished <> 'Unique' AND DATE(indent_created_at) >= DATE('now','-30 day');",There were {republished} republished indents in the last 30 days.
94,Show all republished indents and their final_republished_indent_fteid in the last 30 days.,"SELECT indent_fteid, final_republished_indent_fteid, republish_category FROM trips_full WHERE is_indent_republished <> 'Unique' AND DATE(indent_created_at) >= DATE('now','-30 day');",These republished indents and their final canonical IDs were observed in the last 30 days.
95,How many indents have more than one associated trip_id in the last 30 days?,"SELECT COUNT(*) AS multi_trip_indents FROM (SELECT indent_fteid, COUNT(DISTINCT trip_id) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_fteid HAVING COUNT(DISTINCT trip_id) > 1);",There were {multi_trip_indents} indents with more than one trip attempt in the last 30 days.
96,List indents that have more than one trip attempt in the last 30 days.,"SELECT indent_fteid, COUNT(DISTINCT trip_id) AS trips FROM trips_full WHERE DATE(trip_created_at) >= DATE('now','-30 day') GROUP BY indent_fteid HAVING COUNT(DISTINCT trip_id) > 1 ORDER BY trips DESC;",These indents had multiple trip attempts in the last 30 days.
97,How many trips have COMMITTED_TRIPS populated in the last 30 days?,"SELECT COUNT(*) AS committed_present FROM trips_full WHERE COMMITTED_TRIPS IS NOT NULL AND DATE(trip_created_at) >= DATE('now','-30 day');",There were {committed_present} trips where COMMITTED_TRIPS is populated in the last 30 days.
98,Show records where COMMITTED_TRIPS is greater than VEHICLE_QUANTITY in the last 30 days.,"SELECT * FROM trips_full WHERE COMMITTED_TRIPS > VEHICLE_QUANTITY AND DATE(trip_created_at) >= DATE('now','-30 day');",These records show COMMITTED_TRIPS higher than VEHICLE_QUANTITY and may indicate configuration issues.
99,How many PER_TRUCK indents were created in the last 30 days?,"SELECT COUNT(*) AS per_truck_indents FROM trips_full WHERE indent_type = 'PER_TRUCK' AND DATE(indent_created_at) >= DATE('now','-30 day');",There were {per_truck_indents} PER_TRUCK indents created in the last 30 days.
100,What is the distribution of indent_type over the last 30 days?,"SELECT indent_type, COUNT(*) AS cnt FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') GROUP BY indent_type;",This is the distribution of indent types for the last 30 days.
101,What is the average share value per indent in the last 30 days?,"SELECT AVG(share) AS avg_share FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day');",The average share value across indents in the last 30 days is {avg_share}.
102,Which indents have the highest share in the last 30 days?,"SELECT indent_fteid, share FROM trips_full WHERE DATE(indent_created_at) >= DATE('now','-30 day') ORDER BY share DESC LIMIT 10;",These indents have the highest share values in the last 30 days.
103,What is the average time from indent_created_at to indent_published_at in the last 30 days?,"SELECT AVG((julianday(indent_published_at) - julianday(indent_created_at)) * 24.0) AS avg_hours FROM trips_full WHERE indent_published_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day');","On average, it took {avg_hours} hours from indent creation to publishing in the last 30 days."
104,What is the average time from indent_published_at to indent_accepted_at in the last 30 days?,"SELECT AVG((julianday(indent_accepted_at) - julianday(indent_published_at)) * 24.0) AS avg_hours FROM trips_full WHERE indent_accepted_at IS NOT NULL AND indent_published_at IS NOT NULL AND DATE(indent_created_at) >= DATE('now','-30 day');","On average, it took {avg_hours} hours from indent publishing to transporter acceptance in the last 30 days."
